analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,trade_count,avg_return,hit_rate,avg_off_exchange
3,3,50,1.0,76,0.959,53.947,58.914
3,3,50,1.5,129,1.148,54.264,59.109
3,3,50,2.0,166,1.3,59.639,58.774
3,3,50,2.5,208,1.164,57.212,58.875
3,4,20,0.5,361,1.728,62.604,40.752
3,4,20,1.0,717,1.051,58.717,40.199
3,4,20,1.5,1070,1.28,58.972,40.553
3,4,20,2.0,1343,1.127,57.856,40.534
3,4,20,2.5,1597,1.166,57.733,40.836
3,4,25,0.5,358,1.781,63.128,40.895
3,4,25,1.0,711,1.075,58.931,40.334
3,4,25,1.5,1062,1.272,59.134,40.679
3,4,25,2.0,1332,1.128,58.033,40.67
3,4,25,2.5,1586,1.168,57.881,40.953
3,4,30,0.5,343,1.71,62.391,41.489
3,4,30,1.0,676,1.049,58.58,40.976
3,4,30,1.5,1013,1.264,58.835,41.293
3,4,30,2.0,1270,1.138,57.874,41.289
3,4,30,2.5,1519,1.179,57.801,41.528
3,4,35,0.5,277,1.636,62.094,43.558
3,4,35,1.0,540,0.765,58.333,43.051
3,4,35,1.5,803,1.151,58.406,43.527
3,4,35,2.0,1010,1.048,57.822,43.48
3,4,35,2.5,1219,1.115,57.834,43.673
3,4,40,0.5,154,1.651,61.039,48.283
3,4,40,1.0,296,1.149,59.122,47.551
3,4,40,1.5,457,1.44,57.549,48.017
3,4,40,2.0,571,1.334,58.144,48.007
3,4,40,2.5,703,1.418,58.748,48.123
3,4,45,0.5,83,1.639,61.446,53.316
3,4,45,1.0,150,0.898,56.667,52.862
3,4,45,1.5,233,1.576,55.365,53.647
3,4,45,2.0,289,1.568,57.439,53.731
3,4,45,2.5,356,1.775,58.146,53.919
3,4,50,0.5,40,2.154,60.0,59.829
3,4,50,1.0,74,0.754,54.054,58.701
3,4,50,1.5,127,1.687,55.118,58.988
3,4,50,2.0,164,1.932,59.756,58.676
3,4,50,2.5,205,2.063,59.512,58.837
3,5,20,0.5,361,1.962,60.665,40.752
3,5,20,1.0,712,1.416,57.444,40.233
3,5,20,1.5,1061,1.7,59.284,40.57
3,5,20,2.0,1330,1.545,58.271,40.55
3,5,20,2.5,1583,1.564,58.054,40.862
3,5,25,0.5,358,2.011,60.894,40.895
3,5,25,1.0,706,1.443,57.507,40.369
3,5,25,1.5,1053,1.693,59.354,40.697
3,5,25,2.0,1319,1.547,58.302,40.688
3,5,25,2.5,1572,1.566,58.079,40.981
3,5,30,0.5,343,2.005,60.933,41.489
3,5,30,1.0,671,1.46,57.675,41.018
3,5,30,1.5,1005,1.678,59.303,41.303
3,5,30,2.0,1258,1.555,58.267,41.303
3,5,30,2.5,1507,1.573,58.062,41.541
3,5,35,0.5,277,1.943,61.733,43.558
3,5,35,1.0,538,1.222,57.435,43.058
3,5,35,1.5,800,1.62,59.125,43.492
3,5,35,2.0,1004,1.529,58.068,43.458
3,5,35,2.5,1213,1.577,57.873,43.655
3,5,40,0.5,154,2.332,60.39,48.283
3,5,40,1.0,295,1.878,58.644,47.559
3,5,40,1.5,455,2.148,59.121,47.962
3,5,40,2.0,568,2.0,57.923,47.961
3,5,40,2.5,700,2.071,58.0,48.086
3,5,45,0.5,83,2.169,57.831,53.316
3,5,45,1.0,149,1.804,55.705,52.913
3,5,45,1.5,231,2.447,58.442,53.586
3,5,45,2.0,286,2.437,58.042,53.7
3,5,45,2.5,353,2.647,58.64,53.895
3,5,50,0.5,40,2.859,55.0,59.829
3,5,50,1.0,74,2.002,55.405,58.701
