date,symbol,total_market_volume,Close,Open,High,Low,total_off_exchange_volume,short_volume,short_exempt_volume,on_exchange_volume,off_exchange_pct,on_exchange_pct,short_pct_of_off_exchange
2025-07-01,GOOGL,35904500,175.83999633789062,175.74000549316406,176.08999633789062,173.52999877929688,10252009,3747204,146260,25652491,28.6,71.4,36.6
2025-07-02,GOOGL,29128900,178.63999938964844,175.5399932861328,178.86000061035156,175.07000732421875,10352680,3929282,10468,18776220,35.5,64.5,38.0
2025-07-03,GOOGL,21689700,179.52999877929688,178.5,179.6699981689453,177.0500030517578,7857198,2673063,6727,13832502,36.2,63.8,34.0
2025-07-07,GOOGL,34175600,176.7899932861328,179.05999755859375,179.3000030517578,175.67999267578125,11279133,4079422,6998,22896467,33.0,67.0,36.2
2025-07-08,GOOGL,40442500,174.36000061035156,177.85000610351562,177.9499969482422,172.80999755859375,12419532,4104066,22203,28022968,30.7,69.3,33.0
2025-07-09,GOOGL,43025600,176.6199951171875,175.25,179.44000244140625,172.77000427246094,16720253,6026132,43391,26305347,38.9,61.1,36.0
2025-07-10,GOOGL,29252400,177.6199951171875,175.6300048828125,178.42999267578125,174.3800048828125,5812302,1880848,14486,23440098,19.9,80.1,32.4
2025-07-11,GOOGL,34282900,180.19000244140625,176.7899932861328,181.42999267578125,176.47999572753906,12236895,4397170,12325,22046005,35.7,64.3,35.9
2025-07-14,GOOGL,32536600,181.55999755859375,181.00999450683594,183.6699981689453,179.67999267578125,11246473,3986540,21172,21290127,34.6,65.4,35.4
2025-07-15,GOOGL,33448300,182.0,182.80999755859375,184.22000122070312,181.60000610351562,10270867,3577063,7954,23177433,30.7,69.3,34.8
2025-07-16,GOOGL,33104200,182.97000122070312,183.24000549316406,184.3300018310547,182.02999877929688,11748150,4894088,4604,21356050,35.5,64.5,41.7
2025-07-17,GOOGL,31992600,183.5800018310547,182.13999938964844,184.05999755859375,180.47999572753906,11379142,4289203,9601,20613458,35.6,64.4,37.7
2025-07-18,GOOGL,34014500,185.05999755859375,185.39999389648438,186.4199981689453,183.7100067138672,9753216,4248633,28078,24261284,28.7,71.3,43.6
2025-07-21,GOOGL,45803100,190.10000610351562,186.25,190.2899932861328,186.14999389648438,15952170,5768194,12754,29850930,34.8,65.2,36.2
2025-07-22,GOOGL,44660200,191.33999633789062,191.5,191.64999389648438,187.4600067138672,15260462,4892179,14929,29399738,34.2,65.8,32.1
2025-07-23,GOOGL,58681900,190.22999572753906,191.5,192.52999877929688,189.17999267578125,16507615,5125277,14038,42174285,28.1,71.9,31.0
2025-07-24,GOOGL,74881700,192.1699981689453,197.02999877929688,197.9499969482422,191.0,31821629,13073527,108788,43060071,42.5,57.5,41.1
2025-07-25,GOOGL,39519098,193.17999267578125,191.97999572753906,194.3300018310547,191.25999450683594,15888844,6717994,17847,23630254,40.2,59.8,42.3
