Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Aumento_Volume_%,Tamanho_Rompimento_%,Retorno_5d,Retorno_Máximo_5d,Retorno_Mínimo_5d,Retorno_10d,Retorno_Máximo_10d,Retorno_Mínimo_10d,Retorno_20d,Retorno_Máximo_20d,Retorno_Mínimo_20d
2025-06-03 00:00:00,AQN,6.21999979019165,45738100.0,13633080.0,235.49,3.49,-6.27,0.32,-12.22,-7.07,0.32,-12.22,-8.36,0.32,-12.22
2025-04-24 00:00:00,ARBE,1.3799999952316284,2873600.0,913670.0,214.51,10.4,-5.07,9.42,-11.59,2.9,9.42,-11.59,12.32,28.99,-11.59
2025-05-16 00:00:00,ARBE,1.7699999809265137,4262200.0,1374750.0,210.03,8.26,-12.43,0.56,-18.08,-4.52,0.56,-18.08,-11.3,2.26,-18.08
2025-06-26 00:00:00,ARBE,1.9299999475479128,5719200.0,1266810.0,351.46,6.63,-9.33,0.78,-17.62,-19.17,0.78,-19.17,,,
2025-05-07 00:00:00,ARDT,14.210000038146973,688600.0,212840.0,223.53,5.89,2.53,6.19,-6.54,5.14,8.59,-6.54,3.8,8.59,-6.54
2025-04-04 00:00:00,AREB,19.5,83206200.0,8810591.6,844.39,59.51,-68.15,7.13,-72.26,-87.74,7.13,-90.77,-84.97,7.13,-90.77
2025-04-16 00:00:00,AREC,1.1100000143051147,69399100.0,12546700.0,453.13,21.18,8.11,51.35,-45.95,-18.02,51.35,-45.95,-18.11,51.35,-45.95
2025-07-10 00:00:00,AREC,1.1100000143051147,5215500.0,589320.0,785.0,2.78,32.43,33.33,-17.93,,,,,,
2025-07-15 00:00:00,AREC,1.399999976158142,5848000.0,1316250.0,344.29,7.69,,,,,,,,,
2025-04-24 00:00:00,AREN,4.579999923706055,796700.0,245120.0,225.02,32.75,14.19,15.5,-27.29,34.28,38.86,-27.29,70.31,119.43,-27.29
2025-05-19 00:00:00,AREN,9.760000228881836,812800.0,234810.0,246.15,23.86,-51.02,2.97,-53.48,-47.85,2.97,-60.45,-45.9,2.97,-60.45
2025-02-28 00:00:00,ARLO,14.380000114440918,2927100.0,710650.0,311.89,17.77,-17.8,0.63,-22.95,-26.08,0.63,-28.72,-28.65,0.63,-30.18
2025-05-30 00:00:00,ARLO,14.31999969482422,1930900.0,629890.0,206.55,2.8,17.18,20.53,-5.24,19.2,22.84,-5.24,18.44,23.6,-5.24
2025-03-13 00:00:00,ARMN,4.429999828338623,1365200.0,425680.0,220.71,4.73,2.93,4.85,-9.03,5.42,10.16,-9.03,16.03,16.59,-9.03
2025-03-17 00:00:00,ARQQ,23.540000915527344,2858900.0,252590.0,1031.83,30.46,-17.59,1.49,-31.9,-41.12,1.49,-41.33,-36.36,1.49,-53.27
2025-05-19 00:00:00,ARQQ,24.270000457763672,2622300.0,489210.0,436.03,29.37,8.78,35.56,-29.83,-2.76,35.56,-29.83,27.81,35.56,-29.83
2025-06-18 00:00:00,ARQQ,37.970001220703125,3514800.0,855740.0,310.73,15.41,6.9,17.72,-15.25,-7.61,17.72,-15.25,20.07,22.41,-15.25
2025-05-20 00:00:00,AS,37.369998931884766,19816200.0,4558410.0,334.72,16.2,0.96,3.05,-6.34,-0.37,3.05,-6.34,-3.16,4.81,-6.34
2025-05-28 00:00:00,ASBP,0.7059999704360962,703164600.0,1488330.0,47145.21,38.43,-44.76,3.4,-52.41,-43.48,3.4,-53.26,-56.66,3.4,-66.43
2025-03-07 00:00:00,ASLE,8.239999771118164,1798300.0,285090.0,530.78,14.29,1.82,3.76,-11.29,-0.61,6.31,-11.29,-17.6,6.31,-20.27
2025-03-12 00:00:00,ASM,1.7000000476837158,7966200.0,1490930.0,434.31,11.11,4.12,16.47,-16.47,5.88,16.47,-16.47,0.59,17.65,-19.41
2025-05-12 00:00:00,ASO,46.25568771362305,3835400.0,1226860.0,212.62,14.91,-2.69,2.64,-6.23,-11.79,2.64,-13.54,-3.86,3.86,-14.05
2025-05-07 00:00:00,ASST,3.390000104904175,310721600.0,176200.0,176245.97,428.04,38.64,163.13,-55.16,137.17,221.53,-55.16,103.83,295.87,-55.16
2025-05-08 00:00:00,ASST,7.690000057220459,241941300.0,31233390.0,674.62,125.51,-10.66,15.99,-49.15,69.18,74.51,-49.15,-25.1,74.51,-49.15
2025-05-20 00:00:00,ATAI,2.049999952316284,7225100.0,1646920.0,338.7,10.81,12.68,15.85,-19.02,20.49,28.78,-19.02,13.66,28.78,-19.02
2025-05-09 00:00:00,ATGE,136.25,1962600.0,551410.0,255.92,15.57,-1.11,2.84,-10.02,-5.69,2.84,-10.02,-10.91,2.84,-12.46
2025-05-30 00:00:00,ATHA,0.3129999935626983,6263800.0,227420.0,2654.29,4.33,15.02,18.21,-12.78,-2.88,18.21,-12.78,-3.51,18.21,-12.78
2025-06-04 00:00:00,ATLX,5.130000114440918,656300.0,190420.0,244.66,12.25,-15.4,16.35,-20.31,-20.08,16.35,-23.0,-24.56,16.35,-29.82
2025-07-17 00:00:00,ATLX,4.449999809265137,959800.0,203010.0,372.78,4.71,,,,,,,,,
2025-05-14 00:00:00,ATOS,1.0299999713897705,2563800.0,622710.0,311.72,10.75,-15.53,3.88,-16.5,-26.21,3.88,-27.18,-16.5,3.88,-29.13
2025-02-21 00:00:00,ATRO,20.200000762939453,1062200.0,206290.0,414.91,3.38,-0.94,0.54,-3.96,21.04,26.44,-3.96,25.5,26.44,-3.96
2025-03-05 00:00:00,ATRO,24.90999984741211,3585000.0,447180.0,701.69,20.75,-2.53,2.53,-13.77,0.68,2.53,-13.77,-1.16,6.9,-13.77
2025-06-12 00:00:00,ATRO,35.810001373291016,1652700.0,380540.0,334.3,5.57,-7.65,1.42,-8.29,-6.62,1.42,-8.94,-0.08,1.87,-16.48
2025-02-19 00:00:00,ATYR,4.25,3812700.0,831970.0,358.27,6.52,-8.94,9.65,-17.41,-25.88,9.65,-36.35,-9.65,9.65,-36.35
2025-06-26 00:00:00,AUPH,8.630000114440918,3999100.0,1081460.0,269.79,3.48,-12.05,2.67,-15.59,1.97,5.45,-15.59,,,
2025-06-26 00:00:00,AVAV,272.3699951171875,4739200.0,1395020.0,239.72,8.95,-9.6,8.64,-12.88,-3.15,8.64,-15.96,,,
2025-05-07 00:00:00,AVDX,9.739999771118164,78220300.0,1377490.0,5578.47,14.59,-0.1,0.21,-0.51,-0.21,0.21,-0.51,0.41,0.82,-0.51
2025-02-25 00:00:00,AXGN,20.11000061035156,1640800.0,405870.0,304.27,4.79,-7.41,4.43,-19.34,-13.38,4.43,-19.34,-5.57,4.43,-19.34
2025-05-08 00:00:00,AXON,686.8300170898438,1693000.0,538670.0,214.29,7.59,6.05,6.61,-6.15,5.38,9.02,-6.15,15.29,16.21,-6.15
2025-05-15 00:00:00,AYTU,2.5899999141693115,63093400.0,513680.0,12182.63,76.19,-22.01,4.25,-35.52,-31.27,4.25,-35.52,-24.71,4.25,-43.63
2025-02-24 00:00:00,AZ,8.25,395300.0,127070.0,211.09,5.77,-15.27,0.3,-20.73,-22.91,0.3,-24.24,-13.7,0.3,-31.64
