Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Retorno_5d,Preço_5d,Retorno_10d,Preço_10d,Retorno_20d,Preço_20d
2025-03-13 00:00:00,ACNT,12.34000015258789,124000.0,21630.0,4.54,12.9,4.54,12.9,2.11,12.6
2025-03-17 00:00:00,ACNT,12.899999618530272,99000.0,36950.0,-0.7,12.81,-1.86,12.66,-1.55,12.7
2025-06-09 00:00:00,ACNT,13.4399995803833,131300.0,66530.0,-6.92,12.51,-5.88,12.65,-4.46,12.84
2025-05-02 00:00:00,ACOG,6.389999866485596,105300.0,67280.0,16.28,7.43,35.37,8.65,52.43,9.74
2025-05-05 00:00:00,ACOG,6.760000228881836,222200.0,71330.0,10.21,7.45,47.93,10.0,44.82,9.79
2025-05-07 00:00:00,ACOG,7.489999771118164,229400.0,89860.0,-8.41,6.86,31.51,9.85,29.11,9.67
2025-05-16 00:00:00,ACOG,8.649999618530273,669600.0,98540.0,5.66,9.14,12.6,9.74,6.59,9.22
2025-05-19 00:00:00,ACOG,10.0,353000.0,154970.0,-11.8,8.82,-2.1,9.79,-9.05,9.1
2025-07-02 00:00:00,ACOG,10.6899995803833,155300.0,64790.0,2.9,11.0,-3.93,10.27,,
2025-06-11 00:00:00,ACON,7.690000057220459,33000.0,19300.0,-4.68,7.33,-6.63,7.18,-6.37,7.2
2025-02-19 00:00:00,ACP,5.828859806060791,1375200.0,514770.0,-1.5,5.74,-1.82,5.72,-2.96,5.66
2025-05-12 00:00:00,ACP,5.646624565124512,874000.0,503870.0,1.55,5.73,1.18,5.71,2.23,5.77
2025-05-13 00:00:00,ACP,5.695302486419678,860200.0,532540.0,1.2,5.76,-0.03,5.69,1.35,5.77
2025-03-10 00:00:00,ACR,21.75,99500.0,40690.0,6.71,23.21,1.89,22.16,-15.08,18.47
2025-05-07 00:00:00,ACRE,4.537606239318848,1451900.0,433380.0,2.56,4.65,-2.14,4.44,-0.21,4.53
2025-05-08 00:00:00,ACRE,4.673346996307373,817000.0,534490.0,-0.41,4.65,-5.19,4.43,-0.62,4.64
2025-06-04 00:00:00,ACRS,1.6100000143051147,1689300.0,805180.0,-2.48,1.57,-11.8,1.42,-10.56,1.44
2025-05-08 00:00:00,ACTG,3.539999961853028,1115000.0,181560.0,4.8,3.71,3.67,3.67,8.19,3.83
2025-05-09 00:00:00,ACTG,3.7699999809265137,455500.0,275840.0,-1.33,3.72,-0.8,3.74,1.33,3.82
2025-05-12 00:00:00,ACTG,3.890000104904175,604100.0,291990.0,-3.08,3.77,-0.77,3.86,-1.54,3.83
2025-07-11 00:00:00,ACTG,3.9700000286102295,375500.0,168910.0,-5.29,3.76,,,,
2025-04-22 00:00:00,ACTU,8.520000457763672,290300.0,48290.0,7.51,9.16,8.1,9.21,24.41,10.6
2025-05-21 00:00:00,ACTU,10.979999542236328,131200.0,42390.0,-3.73,10.57,-17.21,9.09,-31.97,7.47
