sector,signal_type,analysis_days,holding_days,volume_threshold,price_threshold,hit_rate,avg_return,trade_count,tickers_count
NON_TECH,SELL_STRONG,2,1,1.6,2.5,50.0,-2.0224445343960222,28,20
NON_TECH,BUY_MODERATE,2,1,1.6,2.5,55.00000000000001,0.47774709972584983,20,20
TECH,SELL_STRONG,2,1,1.7,0.5,56.52173913043478,-1.5480794535781803,23,9
TECH,BUY_STRONG,2,1,1.7,0.5,52.63157894736842,-1.5270817061040518,19,9
NON_TECH,SELL_STRONG,2,1,1.7,0.5,55.769230769230774,-0.8250556246021377,52,20
NON_TECH,BUY_STRONG,2,1,1.7,0.5,51.42857142857142,0.12102932085374399,70,20
TECH,SELL_STRONG,2,1,1.7,1.0,57.89473684210527,-1.5984272748630979,19,9
TECH,BUY_STRONG,2,1,1.7,1.0,56.25,-1.7347394493640356,16,9
TECH,BUY_MODERATE,2,1,1.7,1.0,60.0,3.5379295115456806,5,9
NON_TECH,SELL_STRONG,2,1,1.7,1.0,53.191489361702125,-1.0629994416558026,47,20
NON_TECH,BUY_STRONG,2,1,1.7,1.0,52.307692307692314,0.15581955273799752,65,20
NON_TECH,BUY_MODERATE,2,1,1.7,1.0,66.66666666666666,2.009454374722344,6,20
TECH,SELL_STRONG,2,1,1.7,1.5,64.28571428571429,0.42433628842189425,14,9
TECH,BUY_STRONG,2,1,1.7,1.5,50.0,-3.3957037790153364,14,9
TECH,BUY_MODERATE,2,1,1.7,1.5,42.857142857142854,2.3605143997126627,7,9
NON_TECH,SELL_STRONG,2,1,1.7,1.5,50.0,-1.5008180230402075,36,20
NON_TECH,BUY_STRONG,2,1,1.7,1.5,54.54545454545454,0.368485500121803,55,20
NON_TECH,BUY_MODERATE,2,1,1.7,1.5,55.55555555555556,1.9590773509184929,9,20
TECH,SELL_STRONG,2,1,1.7,2.0,80.0,0.7413816906411075,10,9
TECH,BUY_MODERATE,2,1,1.7,2.0,55.55555555555556,1.9846872734151566,9,9
TECH,BUY_STRONG,2,1,1.7,2.0,50.0,-1.9721773768660786,8,9
NON_TECH,SELL_STRONG,2,1,1.7,2.0,53.84615384615385,-1.3889442327377641,26,20
NON_TECH,BUY_STRONG,2,1,1.7,2.0,58.69565217391305,0.6650597154349981,46,20
NON_TECH,BUY_MODERATE,2,1,1.7,2.0,50.0,1.2034677813825438,10,20
TECH,BUY_MODERATE,2,1,1.7,2.5,55.55555555555556,1.9846872734151566,9,9
TECH,BUY_STRONG,2,1,1.7,2.5,42.857142857142854,-2.2831263647899873,7,9
TECH,SELL_STRONG,2,1,1.7,2.5,71.42857142857143,-0.4178905716821077,7,9
NON_TECH,SELL_STRONG,2,1,1.7,2.5,54.54545454545454,-1.7143479527761785,22,20
NON_TECH,BUY_STRONG,2,1,1.7,2.5,62.16216216216216,0.9552559269455312,37,20
NON_TECH,BUY_MODERATE,2,1,1.7,2.5,50.0,0.2907358116307135,18,20
TECH,SELL_STRONG,2,2,1.2,0.5,46.478873239436616,-0.7093292399975508,71,9
TECH,BUY_STRONG,2,2,1.2,0.5,57.89473684210527,0.615064417243748,76,9
TECH,BUY_MODERATE,2,2,1.2,0.5,63.63636363636363,2.413725280692248,11,9
NON_TECH,SELL_STRONG,2,2,1.2,0.5,40.7185628742515,-1.6013520939468913,167,20
NON_TECH,BUY_STRONG,2,2,1.2,0.5,52.35602094240838,2.1265688688112676,191,20
